1383588512|2013-11-04 18:08:32|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588524|2013-11-04 18:08:44|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588735|2013-11-04 18:12:15|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588780|2013-11-04 18:13:00|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588850|2013-11-04 18:14:10|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588927|2013-11-04 18:15:27|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588934|2013-11-04 18:15:34|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588956|2013-11-04 18:15:56|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383588968|2013-11-04 18:16:08|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589018|2013-11-04 18:16:58|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589103|2013-11-04 18:18:23|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589105|2013-11-04 18:18:25|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589415|2013-11-04 18:23:35|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589450|2013-11-04 18:24:10|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589762|2013-11-04 18:29:22|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589769|2013-11-04 18:29:29|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589775|2013-11-04 18:29:35|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589865|2013-11-04 18:31:05|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589880|2013-11-04 18:31:20|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383589880|2013-11-04 18:31:20|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383590133|2013-11-04 18:35:33|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
1383590133|2013-11-04 18:35:33|Warning: Invalid argument supplied for foreach(); \core\core.php:1846;
